Time [s],Channel 0
0.895043083,1
0.895045333,0
0.895541750,1
0.895544000,0
0.896040500,1
0.896042750,0
0.896539167,1
0.896541417,0
0.897037917,1
0.897040083,0
0.897536583,1
0.897538750,0
0.898035333,1
0.898037583,0
0.898434250,1
0.898436417,0
0.898932917,1
0.898935167,0
0.899431583,1
0.899433833,0
0.899930417,1
0.899932667,0
0.900429333,1
0.900431583,0
0.900928167,1
0.900930417,0
0.901427083,1
0.901429333,0
0.901926167,1
0.901928417,0
0.902325417,1
0.902327667,0
0.902824417,1
0.902826667,0
0.903323667,1
0.903325917,0
0.903822833,1
0.903825083,0
0.904322000,1
0.904324167,0
0.904821083,1
0.904823333,0
0.905220250,1
0.905222500,0
0.905719083,1
0.905721333,0
0.906218083,1
0.906220250,0
0.906716833,1
0.906719083,0
0.907215583,1
0.907217833,0
0.907714417,1
0.907716667,0
0.908113417,1
0.908115667,0
0.908612333,1
0.908614583,0
0.909111167,1
0.909113417,0
0.909609833,1
0.909612083,0
0.910108500,1
0.910110750,0
0.910607333,1
0.910609583,0
0.911006333,1
0.911008500,0
0.911504917,1
0.911507167,0
0.912003667,1
0.912005917,0
0.912502333,1
0.912504583,0
0.913001083,1
0.913003250,0
0.913399917,1
0.913402167,0
0.913898667,1
0.913900917,0
0.914397500,1
0.914399750,0
0.914896167,1
0.914898417,0
0.915394667,1
0.915396917,0
0.915793500,1
0.915795750,0
0.916292167,1
0.916294333,0
0.916790833,1
0.916793083,0
0.917289667,1
0.917291917,0
0.917688750,1
0.917691000,0
0.918187583,1
0.918189833,0
0.918686333,1
0.918688583,0
0.919185250,1
0.919187417,0
0.919684083,1
0.919686333,0
0.920083417,1
0.920085667,0
0.920582583,1
0.920584833,0
0.921081667,1
0.921083917,0
0.921580583,1
0.921582833,0
0.921979750,1
0.921981917,0
0.922478417,1
0.922480667,0
0.922977500,1
0.922979750,0
0.923476417,1
0.923478583,0
0.923875500,1
0.923877750,0
0.924374250,1
0.924376500,0
0.924873000,1
0.924875250,0
0.925371917,1
0.925374167,0
0.925771083,1
0.925773333,0
0.926269917,1
0.926272167,0
0.926768750,1
0.926770917,0
0.927167750,1
0.927170000,0
0.927666583,1
0.927668833,0
0.928165417,1
0.928167667,0
0.928664333,1
0.928666583,0
0.929063417,1
0.929065667,0
0.929562167,1
0.929564417,0
0.930060917,1
0.930063167,0
0.930459917,1
0.930462083,0
0.930958833,1
0.930961083,0
0.931457750,1
0.931459917,0
0.931956667,1
0.931958833,0
0.932355750,1
0.932357917,0
0.932854583,1
0.932856833,0
0.933353333,1
0.933355583,0
0.933752417,1
0.933754583,0
0.934251333,1
0.934253583,0
0.934750083,1
0.934752333,0
0.935149167,1
0.935151417,0
0.935648000,1
0.935650250,0
0.936146833,1
0.936149083,0
0.936545917,1
0.936548083,0
0.937044750,1
0.937047000,0
0.937543667,1
0.937545917,0
0.938042667,1
0.938044833,0
0.938441750,1
0.938443917,0
0.938940583,1
0.938942833,0
0.939439417,1
0.939441667,0
0.939838500,1
0.939840750,0
0.940337500,1
0.940339750,0
0.940736667,1
0.940738917,0
0.941235500,1
0.941237750,0
0.941734333,1
0.941736583,0
0.942133500,1
0.942135750,0
0.942632250,1
0.942634500,0
0.943131000,1
0.943133250,0
0.943530167,1
0.943532333,0
0.944029000,1
0.944031250,0
0.944527833,1
0.944530083,0
0.944927000,1
0.944929250,0
0.945425833,1
0.945428083,0
0.945924750,1
0.945927000,0
0.946323750,1
0.946326000,0
0.946822500,1
0.946824750,0
0.947221583,1
0.947223833,0
0.947720250,1
0.947722500,0
0.948219083,1
0.948221250,0
0.948618167,1
0.948620417,0
0.949116917,1
0.949119167,0
0.949615750,1
0.949617917,0
0.950014750,1
0.950017000,0
0.950513500,1
0.950515750,0
0.951012333,1
0.951014500,0
0.951411417,1
0.951413583,0
0.951910167,1
0.951912333,0
0.952408667,1
0.952410917,0
0.952807583,1
0.952809833,0
0.953306333,1
0.953308500,0
0.953805000,1
0.953807250,0
0.954203917,1
0.954206083,0
0.954702583,1
0.954704833,0
0.955201333,1
0.955203500,0
0.955600333,1
0.955602500,0
0.956099083,1
0.956101250,0
0.956597750,1
0.956600000,0
0.956996750,1
0.956998917,0
0.957495417,1
0.957497667,0
0.957994083,1
0.957996333,0
0.958393083,1
0.958395250,0
0.958891750,1
0.958894000,0
0.959390250,1
0.959392500,0
0.959889083,1
0.959891333,0
0.960288000,1
0.960290167,0
0.960786667,1
0.960788917,0
0.961285417,1
0.961287583,0
0.961684250,1
0.961686500,0
0.962182917,1
0.962185167,0
0.962681583,1
0.962683833,0
0.963180417,1
0.963182583,0
0.963579333,1
0.963581583,0
0.964078167,1
0.964080417,0
0.964577000,1
0.964579250,0
0.964976167,1
0.964978333,0
0.965474917,1
0.965477167,0
0.965973750,1
0.965976000,0
0.966472500,1
0.966474750,0
0.966871583,1
0.966873750,0
0.967370167,1
0.967372333,0
0.967868750,1
0.967871000,0
0.968367250,1
0.968369417,0
0.968766083,1
